날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Sep 02, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,12509,,38,,0.304%,$53.52,,$1.4084211,$0.0,5,56.635000000000005%,1.77,$94.5
"Sep 02, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4426,,25,,0.565%,$77.52,,$3.1008,$0.0,4,195.758%,0.51,$39.6
"Sep 03, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1220,,14,,1.1480000000000001%,$13.39,,$0.9564286,$0.0,4,17.956%,5.57,$74.57
"Sep 03, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,7496,,58,,0.774%,$50.45,,$0.8698276,$0.0,8,33.366%,3.0,$151.2
"Sep 03, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4781,,55,,1.15%,$42.83,,$0.7787273,$0.0,16,21.119%,4.73,$202.8
"Sep 03, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,12404,,87,,0.701%,$93.18,,$1.0710345,$0.0,7,91.622%,1.09,$101.7
"Sep 03, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,6757,,41,,0.607%,$82.33,,$2.0080488,$0.0,4,207.904%,0.48,$39.6
"Sep 04, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,11576,,77,,0.6649999999999999%,$75.71,,$0.9832468,$0.0,7,91.327%,1.09,$82.9
"Sep 04, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1948,,13,,0.6669999999999999%,$9.68,,$0.7446154,$0.0,3,17.072000000000003%,5.86,$56.7
"Sep 04, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,9386,,67,,0.714%,$66.37,,$0.9905970000000001,$0.0,9,35.369%,2.83,$187.65
